login,activo_roster_A,ib_any_by_process,ib_processes_verified_count,certificados_earned_count,puede_hacer,le_falta_para_completar,cumple_todos_objetivo
rangogen,SI,SI,8,100,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
rclarapr,SI,SI,10,94,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
rdeivpal,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
richamol,SI,SI,9,138,Corral | Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Fluid | Stow Cart Runner,NO
rigabrip,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
rijaviee,SI,SI,2,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
rijbapti,SI,SI,7,79,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
rjmorata,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
rkatherg,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
rmelinai,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
rociorih,SI,SI,5,65,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
rodlario,SI,SI,10,107,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
rodricju,SI,SI,4,53,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
rojasgoh,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
romanior,SI,SI,1,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
roperosm,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
rorozcok,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
rosafead,SI,SI,2,59,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
rpajohan,SI,SI,2,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
rquesadp,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
rubemira,SI,SI,13,102,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
ruborill,SI,SI,3,60,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
rufloris,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
salinyei,SI,SI,7,98,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
salvsonn,SI,SI,1,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
sebasank,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
segurasw,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
selbrodr,SI,SI,5,83,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
sergmagn,SI,SI,2,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
sesacar,SI,SI,2,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
sewemalg,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
sjesusig,SI,SI,8,26,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
snjennet,SI,SI,6,108,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
sorkdumi,SI,SI,6,115,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
ssanchom,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
ssocarra,SI,SI,10,93,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
taverruo,SI,SI,3,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
tdmilano,SI,SI,15,103,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
teixekan,SI,SI,8,105,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
tgramsgo,SI,SI,3,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
tlesmori,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
toroscai,SI,SI,11,108,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
tpmaikel,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
uantonsa,SI,SI,6,87,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
usobarjo,SI,SI,10,111,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
vanescaa,SI,SI,3,27,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
vedventu,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
veldenny,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
vfarinag,SI,SI,7,100,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
vihgrana,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
villamfz,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
villgonn,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
vmaanton,SI,SI,3,23,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
vnunezbe,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
vzcrlo,SI,SI,8,107,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
walrango,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
winnsilv,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
xmaldobr,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
xrmariad,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
xsiivasc,SI,SI,10,98,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
yapascub,SI,SI,8,76,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
ybrfatim,SI,SI,9,85,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
yeduarpe,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
yerbesj,SI,SI,2,1,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
younkarg,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
yperezpl,SI,SI,10,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
ysjimene,SI,SI,12,90,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
zfaneite,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
zidsalah,SI,SI,8,99,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
zreynarm,SI,SI,9,104,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
