login,activo_roster_A,ib_any_by_process,earned_cert_count,target__ocean,target__ocean_cartonmover,target__corral,target__dock_repaletizado,target__ergopack,target__fluid,target__stow_cart_runner,cert__eucf_ilt_sdlp_all_dock_safety_training,cert__eutom_slot_training,cert__eucf_ilt_all_pit_safety_high,cert__eucf_ntu_ist_corral,cert__eucf_ilt_all_corral,cert__eucf_ilt_all_wrapping_unwrapping_pallets,cert__eucf_ilt_all_ergo_pack,cert__eucf_ilt_all_cart_handler_stow,cert__eucf_ntu_all_pit_tugw,missing_targets,missing_certificates_any_target,cumple_todos_objetivo
framoraw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
francmod,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
franespm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
franfrq,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
franipen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
frannrod,1,1,114,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,Corral | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_NTU_IST_ Corral,0
frojedau,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
fthaydee,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
fudannaf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
fvmariad,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
gabrijaf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
gaetaaie,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
gagustac,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
galvnava,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
gapavonl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
garaitoo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
garcamax,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
garcibeg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
garmigul,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
